사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2020010700100529,2020년 1월,화요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 기타,기타,젖음/습기,맑음,교차로 - 교차로안,승용,남,65세 이상,경상,이륜,남,51-60세,경상
2020011500100572,2020년 1월,수요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,21-30세,상해없음
2020012900100112,2020년 1월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,건설기계,남,51-60세,상해없음,승용,남,41-50세,경상
2020020100100331,2020년 2월,토요일,서울특별시 광진구 자양동,부상신고사고,0,0,0,1,차대차 - 충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,기타불명,기타불명,기타불명,기타불명,승용,남,31-40세,부상신고
2020021300100083,2020년 2월,목요일,서울특별시 광진구 화양동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,보행자,남,31-40세,부상신고
2020021600100419,2020년 2월,일요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,51-60세,상해없음,이륜,남,21-30세,경상
2020022400100368,2020년 2월,월요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,51-60세,상해없음,보행자,남,41-50세,중상
2020022400100473,2020년 2월,월요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,65세 이상,경상
2020030300100096,2020년 3월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,41-50세,상해없음,승용,남,21-30세,경상
2020030600100082,2020년 3월,금요일,서울특별시 광진구 화양동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,화물,남,61-64세,부상신고
2020031700100026,2020년 3월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,21-30세,경상
